"34","1","2016/12/22 19:33:49","King Prawn Salad-Wine-Salmon with Popped Cabbage-Water-Wine-"
"23","2","2016/12/22 19:33:49","Chicken a la Creme-Water-Water-Salmon with Popped Cabbage-King Prawn Salad-"
"11","3","2016/12/22 19:33:49","Chicken a la Creme-Salmon with Popped Cabbage-Salmon with Popped Cabbage-Wine-Water-"
"16","4","2016/12/22 19:33:49","Salmon with Popped Cabbage-Water-Wine-King Prawn Salad-King Prawn Salad-"
"12","5","2016/12/22 19:33:49","Salmon with Popped Cabbage-Water-Chicken a la Creme-King Prawn Salad-Water-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"2","2","2016/12/22 20:31:52","Wine-Water-Water-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"3","3","2016/12/22 20:31:52","Wine-Wine-King Prawn Salad-Wine-Water-"
"4","4","2016/12/22 20:31:52","Chicken a la Creme-King Prawn Salad-Wine-Water-Wine-"
"3","3","2016/12/22 20:37:14","King Prawn Salad-Water-Chicken a la Creme-Chicken a la Creme-Water-"
"4","4","2016/12/22 20:37:14","Salmon with Popped Cabbage-Salmon with Popped Cabbage-Salmon with Popped Cabbage-King Prawn Salad-Wine-"
"5","5","2016/12/22 20:37:14","Water-Salmon with Popped Cabbage-King Prawn Salad-Wine-Chicken a la Creme-"
"1","1","2016/12/22 20:37:14","Chicken a la Creme-King Prawn Salad-Water-Wine-Water-"
"2","2","2016/12/22 20:37:14","Water-Chicken a la Creme-Wine-Wine-Wine-"
"3","3","2016/12/22 20:37:14","King Prawn Salad-Water-Chicken a la Creme-Chicken a la Creme-Water-"
"4","4","2016/12/22 20:37:14","Salmon with Popped Cabbage-Salmon with Popped Cabbage-Salmon with Popped Cabbage-King Prawn Salad-Wine-"
"5","5","2016/12/22 20:37:14","Water-Salmon with Popped Cabbage-King Prawn Salad-Wine-Chicken a la Creme-"
"3","3","2016/12/22 20:40:36","Chicken a la Creme-Wine-Water-Water-Wine-"
"4","4","2016/12/22 20:40:36","Salmon with Popped Cabbage-Wine-Salmon with Popped Cabbage-Wine-Water-"
"5","5","2016/12/22 20:40:36","Water-Wine-Chicken a la Creme-King Prawn Salad-Salmon with Popped Cabbage-"
"1","1","2016/12/22 20:43:18","Chicken a la Creme-Salmon with Popped Cabbage-Wine-Wine-Salmon with Popped Cabbage-"
"5","5","2016/12/22 20:43:18","Salmon with Popped Cabbage-Salmon with Popped Cabbage-Salmon with Popped Cabbage-Wine-Water-"
"5","5","2016/12/22 20:43:18"
"1","1","2016/12/22 22:52:42","Salmon with Popped Cabbage-King Prawn Salad-"
"2","2","2016/12/22 22:52:42","Water-Water-Chicken a la Creme-Wine-Salmon with Popped Cabbage-"
"3","3","2016/12/22 22:52:42","Water-Water-Water-Salmon with Popped Cabbage-Wine-"
"4","4","2016/12/22 22:52:42","Chicken a la Creme-Chicken a la Creme-King Prawn Salad-Salmon with Popped Cabbage-Salmon with Popped Cabbage-"
"5","5","2016/12/22 22:52:42","Water-Salmon with Popped Cabbage-Chicken a la Creme-Water-Salmon with Popped Cabbage-"
"2","0","2016/12/23 00:13:51","Water-Water-King Prawn Salad-King Prawn Salad-Water-"
"6","8","2016/12/23 00:13:59","Water-Water-"
